"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1282","test_view_cart","tests.cart","2026-07-07","passed","2026-07-07","","test_view_cart","",""
"","716","test_login_with_various_credentials[locked_out-secret_sauce-error message]","tests.login","2026-07-07","passed","2026-07-07","","test_login_with_various_credentials","",""
"","1388","test_proceed_to_checkout","tests.cart","2026-07-07","passed","2026-07-07","","test_proceed_to_checkout","",""
"","1323","test_login_with_various_credentials[standard_user-secret_sauce-products page]","tests.login","2026-07-07","passed","2026-07-07","","test_login_with_various_credentials","",""
"","1638","test_full_checkout","tests.checkout","2026-07-07","passed","2026-07-07","","test_full_checkout","",""
"","977","test_remove_from_cart","tests.products","2026-07-07","passed","2026-07-07","","test_remove_from_cart","",""
"","641","test_login_with_various_credentials[invalid_user-wrong_pass-error message]","tests.login","2026-07-07","passed","2026-07-07","","test_login_with_various_credentials","",""
"","492","test_view_products","tests.products","2026-07-07","passed","2026-07-07","","test_view_products","",""
"","851","test_login_with_various_credentials[--validation error]","tests.login","2026-07-07","passed","2026-07-07","","test_login_with_various_credentials","",""
"","1065","test_successful_login","tests.login","2026-07-07","passed","2026-07-07","","test_successful_login","",""
"","809","test_add_to_cart","tests.products","2026-07-07","passed","2026-07-07","","test_add_to_cart","",""
"","1422","test_cancel_checkout","tests.checkout","2026-07-07","passed","2026-07-07","","test_cancel_checkout","",""
