"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1215","test_view_cart","tests.cart","2026-07-09","passed","2026-07-09","","test_view_cart","",""
"","1067","test_successful_login","tests.login","2026-07-09","failed","2026-07-09","","test_successful_login","",""
"","1032","test_login_with_various_credentials[locked_out-secret_sauce-error message]","tests.login","2026-07-09","passed","2026-07-09","","test_login_with_various_credentials","",""
"","1668","test_cancel_checkout","tests.checkout","2026-07-09","passed","2026-07-09","","test_cancel_checkout","",""
"","863","test_login_with_various_credentials[standard_user-secret_sauce-products page]","tests.login","2026-07-09","passed","2026-07-09","","test_login_with_various_credentials","",""
"","816","test_view_products","tests.products","2026-07-09","passed","2026-07-09","","test_view_products","",""
"","1460","test_login_accessibility","tests.login","2026-07-09","passed","2026-07-09","","test_login_accessibility","",""
"","764","test_remove_from_cart","tests.products","2026-07-09","passed","2026-07-09","","test_remove_from_cart","",""
"","887","test_add_to_cart","tests.products","2026-07-09","passed","2026-07-09","","test_add_to_cart","",""
"","1444","test_proceed_to_checkout","tests.cart","2026-07-09","passed","2026-07-09","","test_proceed_to_checkout","",""
"","695","test_login_with_various_credentials[invalid_user-wrong_pass-error message]","tests.login","2026-07-09","passed","2026-07-09","","test_login_with_various_credentials","",""
"","1538","test_full_checkout","tests.checkout","2026-07-09","passed","2026-07-09","","test_full_checkout","",""
"","524","test_login_with_various_credentials[--validation error]","tests.login","2026-07-09","passed","2026-07-09","","test_login_with_various_credentials","",""
