"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","671","test_login_with_various_credentials[locked_out-secret_sauce-error message]","tests.login","2026-07-07","passed","2026-07-07","","test_login_with_various_credentials","",""
"","712","test_view_products","tests.products","2026-07-07","passed","2026-07-07","","test_view_products","",""
"","673","test_login_with_various_credentials[invalid_user-wrong_pass-error message]","tests.login","2026-07-07","passed","2026-07-07","","test_login_with_various_credentials","",""
"","667","test_add_to_cart","tests.products","2026-07-07","passed","2026-07-07","","test_add_to_cart","",""
"","919","test_remove_from_cart","tests.products","2026-07-07","passed","2026-07-07","","test_remove_from_cart","",""
"","1147","test_view_cart","tests.cart","2026-07-07","passed","2026-07-07","","test_view_cart","",""
"","616","test_login_with_various_credentials[--validation error]","tests.login","2026-07-07","passed","2026-07-07","","test_login_with_various_credentials","",""
"","1061","test_login_with_various_credentials[standard_user-secret_sauce-products page]","tests.login","2026-07-07","passed","2026-07-07","","test_login_with_various_credentials","",""
"","1005","test_successful_login","tests.login","2026-07-07","passed","2026-07-07","","test_successful_login","",""
"","1484","test_full_checkout","tests.checkout","2026-07-07","passed","2026-07-07","","test_full_checkout","",""
"","1443","test_proceed_to_checkout","tests.cart","2026-07-07","passed","2026-07-07","","test_proceed_to_checkout","",""
"","1355","test_cancel_checkout","tests.checkout","2026-07-07","passed","2026-07-07","","test_cancel_checkout","",""
