"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","664","test_login_with_various_credentials[invalid_user-wrong_pass-error message]","tests.login","2026-07-09","passed","2026-07-09","","test_login_with_various_credentials","",""
"","840","test_add_to_cart","tests.products","2026-07-09","passed","2026-07-09","","test_add_to_cart","",""
"","1451","test_full_checkout","tests.checkout","2026-07-09","passed","2026-07-09","","test_full_checkout","",""
"","1204","test_successful_login","tests.login","2026-07-09","failed","2026-07-09","","test_successful_login","",""
"","1380","test_cancel_checkout","tests.checkout","2026-07-09","passed","2026-07-09","","test_cancel_checkout","",""
"","409","test_login_with_various_credentials[--validation error]","tests.login","2026-07-09","passed","2026-07-09","","test_login_with_various_credentials","",""
"","1846","test_login_with_various_credentials[standard_user-secret_sauce-products page]","tests.login","2026-07-09","passed","2026-07-09","","test_login_with_various_credentials","",""
"","878","test_view_cart","tests.cart","2026-07-09","passed","2026-07-09","","test_view_cart","",""
"","947","test_login_with_various_credentials[locked_out-secret_sauce-error message]","tests.login","2026-07-09","passed","2026-07-09","","test_login_with_various_credentials","",""
"","473","test_view_products","tests.products","2026-07-09","passed","2026-07-09","","test_view_products","",""
"","1078","test_login_accessibility","tests.login","2026-07-09","passed","2026-07-09","","test_login_accessibility","",""
"","1341","test_proceed_to_checkout","tests.cart","2026-07-09","passed","2026-07-09","","test_proceed_to_checkout","",""
"","856","test_remove_from_cart","tests.products","2026-07-09","passed","2026-07-09","","test_remove_from_cart","",""
