"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","689","test_remove_from_cart","tests.products","2026-07-07","passed","2026-07-07","","test_remove_from_cart","",""
"","587","test_view_products","tests.products","2026-07-07","passed","2026-07-07","","test_view_products","",""
"","1102","test_view_cart","tests.cart","2026-07-07","passed","2026-07-07","","test_view_cart","",""
"","938","test_login_with_various_credentials[standard_user-secret_sauce-products page]","tests.login","2026-07-07","passed","2026-07-07","","test_login_with_various_credentials","",""
"","965","test_successful_login","tests.login","2026-07-07","passed","2026-07-07","","test_successful_login","",""
"","1393","test_proceed_to_checkout","tests.cart","2026-07-07","passed","2026-07-07","","test_proceed_to_checkout","",""
"","643","test_login_with_various_credentials[locked_out-secret_sauce-error message]","tests.login","2026-07-07","passed","2026-07-07","","test_login_with_various_credentials","",""
"","566","test_login_with_various_credentials[invalid_user-wrong_pass-error message]","tests.login","2026-07-07","passed","2026-07-07","","test_login_with_various_credentials","",""
"","1096","test_add_to_cart","tests.products","2026-07-07","passed","2026-07-07","","test_add_to_cart","",""
"","1179","test_cancel_checkout","tests.checkout","2026-07-07","passed","2026-07-07","","test_cancel_checkout","",""
"","625","test_login_with_various_credentials[--validation error]","tests.login","2026-07-07","passed","2026-07-07","","test_login_with_various_credentials","",""
"","1542","test_full_checkout","tests.checkout","2026-07-07","passed","2026-07-07","","test_full_checkout","",""
